repo1,repo2,Similarity(No. 1),Similarity(No. 2)
pytoolz/toolz,pytoolz/cytoolz,0.713,0.766
tartiflette/tartiflette-aiohttp,keon/algorithms,0.89,0.761
jindaxiang/akshare,fengsp/plan,0.485,0.368
seatgeek/fuzzywuzzy,PyMySQL/mysqlclient-python,0.929,0.611
amoffat/sh,myusuf3/delorean,0.774,0.705
dbader/schedule,dbader/schedule,0.4,0.697
facebookresearch/hydra,django-haystack/pysolr,0.828,0.915
myusuf3/delorean,sebastien/cuisine,0.963,0.947
marshmallow-code/webargs,willmcgugan/rich,0.826,0.681
zoofIO/flexx,zoofIO/flexx,0.08,0.584
sebastien/cuisine,jazzband/django-pipeline,0.05,0.73
MicroPyramid/forex-python,ansible/ansible,0.162,0.74
miso-belica/sumy,ionelmc/python-manhole,0.118,0.247
daviddrysdale/python-phonenumbers,selwin/python-user-agents,0.133,0.265
rossgoodwin/hmap,fogleman/Quads,0.297,0.079
pytransitions/transitions,boto/boto3,0.676,0.091
jfkirk/tensorrec,jpadilla/pyjwt,0.284,0.351
shazow/urllib3,spyoungtech/grequests,0.184,0.15
seatgeek/fuzzywuzzy,google/pyringe,0.465,0.814
kiddouk/redisco,coleifer/micawber,0.452,0.835
vandersonmota/model_mommy,FactoryBoy/factory_boy,0.428,0.489
crossbario/autobahn-python,PyCQA/modernize,0.521,0.612
pwaller/pyfiglet,jeffknupp/sandman2,0.95,0.887
dbader/schedule,knipknap/SpiffWorkflow,0.857,0.884
crossbario/autobahn-python,django/channels,0.7,0.51
keleshev/schema,sunainapai/makesite,0.927,0.536
dfunckt/django-rules,django-guardian/django-guardian,0.162,0.098
pyglet/pyglet,pyglet/pyglet,0.066,0.069
ajenti/ajenti,wooey/wooey,0.112,0.123
dylanaraps/pywal,libvips/pyvips,0.091,0.099
sloria/doitlive,facebook/PathPicker,0.292,0.207
jazzband/django-taggit,miracle2k/webassets,0.844,0.27
kiwicom/schemathesis,kiwicom/schemathesis,0.058,0.301
pytoolz/cytoolz,pytransitions/transitions,0.106,0.453
python-excel/xlrd,python-excel/xlrd,0.678,0.472
sirfz/tesserocr,jschneier/django-storages,0.972,0.544
getpelican/pelican,getpelican/pelican,0.028,0.034
tqdm/tqdm,tqdm/tqdm,0.033,0.053
daboth/pagan,dahlia/wand,0.048,0.555
timofurrer/try,PyMySQL/PyMySQL,0.112,0.735
stchris/untangle,getnikola/nikola,0.891,0.719
wtforms/wtforms,getnikola/nikola,0.909,0.754
SavinaRoja/PyUserInput,secdev/scapy,0.082,0.177
ageitgey/face_recognition,sirfz/tesserocr,0.068,0.142
spotify/dh-virtualenv,linkedin/shiv,0.501,0.203
shinux/PyTime,scottrogowski/code2flow,0.848,0.175
kornia/kornia,dahlia/wand,0.112,0.268
msiemens/tinydb,miracle2k/flask-assets,0.128,0.318
waylan/Python-Markdown,emirozer/fake2db,0.394,0.485
Alir3z4/html2text,deanmalmgren/textract,0.282,0.321
Delgan/loguru,google/python-fire,0.382,0.331
spotify/annoy,laixintao/iredis,0.283,0.284
Alir3z4/python-currencies,MicroPyramid/forex-python,0.029,0.06
quantopian/zipline,quantopian/zipline,0.066,0.06
amoffat/sh,beetbox/beets,0.783,0.48
carlosescri/DottedDict,skorokithakis/shortuuid,0.8,0.421
geopy/geopy,stephenmcd/hot-redis,0.447,0.21
mindflayer/python-mocket,kevin1024/vcrpy,0.359,0.217
flask-restful/flask-restful,dmlc/xgboost,0.81,0.775
django/channels,moggers87/salmon,0.333,0.932
facebook/pyre-check,python/black,0.029,0.323
mitsuhiko/pluginbase,pallets/itsdangerous,0.168,0.332
geex-arts/django-jet,jet-admin/jet-bridge,0.438,0.151
Kotti/Kotti,feincms/feincms,0.351,0.102
ibayer/fastFM,jfkirk/tensorrec,0.192,0.908
mstamy2/PyPDF2,tyiannak/pyAudioAnalysis,0.276,0.823
MasoniteFramework/masonite,inducer/pudb,0.752,0.534
falconry/falcon,jeffknupp/sandman2,0.27,0.232
ionelmc/python-hunter,podio/valideer,0.46,0.595
lorien/grab,huge-success/sanic,0.628,0.497
cobrateam/splinter,HypothesisWorks/hypothesis,0.748,0.3
orsinium/textdistance,pwaller/pyfiglet,0.364,0.236
dmlc/xgboost,vispy/vispy,0.865,0.092
tomerfiliba/rpyc,srusskih/SublimeJEDI,0.945,0.153
shazow/urllib3,librosa/librosa,0.93,0.666
lxneng/alipay,Alir3z4/python-currencies,0.686,0.708
maciejkula/spotlight,NicolasHug/Surprise,0.116,0.169
Yelp/mrjob,huge-success/sanic,0.546,0.257
benfred/implicit,spotify/dh-virtualenv,0.512,0.928
coala/coala,PyCQA/prospector,0.123,0.881
fengsp/plan,thauber/django-schedule,0.8,0.85
thumbor/thumbor,lxneng/alipay,0.951,0.851
ellisonleao/pyshorteners,gruns/furl,0.367,0.175
zopefoundation/ZODB,mpdavis/python-jose,0.321,0.374
knipknap/SpiffWorkflow,thauber/django-schedule,0.327,0.288
marrow/mailer,mher/flower,0.509,0.348
web2py/pydal,coleifer/peewee,0.217,0.291
mikeorr/Unipath,ionelmc/python-manhole,0.563,0.272
mitsuhiko/unp,pyparsing/pyparsing,0.554,0.214
scrapinghub/portia,jet-admin/jet-bridge,0.847,0.139
cloudnativelabs/kube-shell,dbcli/litecli,0.214,0.156
getsentry/sentry-python,awesto/django-shop,0.389,0.14
python-trio/trio,bpython/bpython,0.882,0.972
ztane/python-Levenshtein,marshmallow-code/webargs,0.971,0.969
ellisonleao/pyshorteners,keras-team/keras,0.821,0.3
encode/orm,sdispater/orator,0.405,0.604
0rpc/zerorpc-python,0rpc/zerorpc-python,0.261,0.408
nvbn/thefuck,wooey/wooey,0.358,0.183
mitsuhiko/pluginbase,mahmoud/boltons,0.801,0.567
lemire/simdjson,sdispater/pendulum,0.779,0.333
CleanCut/green,dahlia/wand,0.703,0.482
andialbrecht/sqlparse,daviddrysdale/python-phonenumbers,0.371,0.426
getpelican/pelican,mkdocs/mkdocs,0.122,0.129
chapmanb/bcbio-nextgen,chapmanb/bcbb,0.168,0.157
psf/requests,shazow/urllib3,0.103,0.042
nose-devs/nose2,nose-devs/nose2,0.141,0.056
marshmallow-code/marshmallow,esnme/ultrajson,0.336,0.432
WhyNotHugo/python-barcode,joke2k/faker,0.597,0.382
Supervisor/supervisor,Supervisor/supervisor,0.686,0.774
feincms/feincms,hhatto/nude.py,0.825,0.528
Microsoft/Pyjion,metawilm/cl-python,0.734,0.757
abhiTronix/vidgear,idan/oauthlib,0.846,0.516
TheAlgorithms/Python,frewsxcv/python-geojson,0.167,0.562
chapmanb/bcbio-nextgen,pymc-devs/pymc3,0.295,0.523
Microsoft/PTVS,amoffat/sh,0.314,0.275
statsmodels/statsmodels,quantopian/zipline,0.139,0.134
Suor/funcy,Suor/django-cacheops,0.317,0.363
google/google-api-python-client,istrategylabs/django-wordpress,0.247,0.401
miracle2k/webassets,jazzband/django-pipeline,0.217,0.053
dabeaz/ply,andialbrecht/sqlparse,0.559,0.121
pytoolz/toolz,Suor/funcy,0.164,0.082
nvbn/thefuck,timofurrer/try,0.16,0.085
davedoesdev/python-jwt,h2oai/h2o-3,0.069,0.494
jazzband/pip-tools,mikeorr/Unipath,0.079,0.449
spyoungtech/grequests,inducer/pudb,0.845,0.908
modoboa/modoboa,moggers87/salmon,0.574,0.837
scanny/python-pptx,zachwill/moment,0.828,0.407
wtforms/wtforms,wtforms/wtforms,0.388,0.482
fengsp/plan,nvdv/vprof,0.626,0.179
FactoryBoy/factory_boy,vandersonmota/model_mommy,0.225,0.264
benfred/py-spy,fabianp/memory_profiler,0.32,0.484
Suor/funcy,ponyorm/pony,0.667,0.477
rsalmei/alive-progress,tqdm/tqdm,0.322,0.133
bbangert/beaker,Suor/django-cacheops,0.132,0.16
sergree/matchering,istrategylabs/django-wordpress,0.528,0.749
zachwill/moment,zachwill/moment,0.148,0.602
cdgriffith/Box,derek73/python-nameparser,0.225,0.071
django-compressor/django-compressor,django-compressor/django-compressor,0.086,0.068
ansible/ansible,seatgeek/sixpack,0.856,0.571
vandersonmota/model_mommy,jonathanslenders/python-prompt-toolkit,0.727,0.623
twisted/treq,amitt001/delegator.py,0.907,0.322
robinhood/faust,scottrogowski/code2flow,0.518,0.369
jaraco/path.py,mikeorr/Unipath,0.748,0.176
xonsh/xonsh,lektor/lektor,0.762,0.091
gleitz/howdoi,lancopku/pkuseg-python,0.487,0.453
carlospalol/money,carlospalol/money,0.349,0.502
dabeaz/ply,faif/python-patterns,0.108,0.054
mindflayer/python-mocket,mindflayer/python-mocket,0.034,0.085
chineking/cola,MechanicalSoup/MechanicalSoup,0.092,0.252
peterbrittain/asciimatics,glamp/bashplotlib,0.075,0.238
MechanicalSoup/MechanicalSoup,locustio/locust,0.838,0.522
peterbrittain/asciimatics,jazzband/localshop,0.795,0.703
stchris/untangle,martinblech/xmltodict,0.146,0.056
michaelhelmick/lassie,michaelhelmick/lassie,0.321,0.04
JaidedAI/EasyOCR,JaidedAI/EasyOCR,0.042,0.051
django/channels,crossbario/autobahn-python,0.071,0.09
benedekrozemberczki/karateclub,quantopian/zipline,0.14,0.742
MongoEngine/mongoengine,getpelican/pelican,0.059,0.835
pyglet/pyglet,ChrisKnott/Eel,0.177,0.671
gak/pycallgraph,jfkirk/tensorrec,0.457,0.726
NicolasHug/Surprise,istrategylabs/django-wordpress,0.924,0.283
spulec/freezegun,gabrielfalcao/HTTPretty,0.458,0.246
pypa/bandersnatch,pypa/bandersnatch,0.055,0.06
jmcnamara/XlsxWriter,jmcnamara/XlsxWriter,0.04,0.028
lk-geimfari/mimesis,tqdm/tqdm,0.232,0.158
jindaxiang/akshare,bloomreach/s4cmd,0.372,0.2
python-openxml/python-docx,python-excel/xlrd,0.636,0.62
timofurrer/maya,napalm-automation/napalm,0.95,0.793
sergree/matchering,sergree/matchering,0.029,0.244
bbangert/beaker,laixintao/iredis,0.129,0.367
psf/requests-html,pennersr/django-allauth,0.527,0.476
RaylockLLC/DearPyGui,pybee/toga,0.298,0.514
davidhalter/jedi-vim,davidhalter/jedi,0.403,0.445
httplib2/httplib2,pyfilesystem/pyfilesystem2,0.788,0.299
DiffSK/configobj,DiffSK/configobj,0.417,0.228
agiliq/merchant,carlospalol/money,0.444,0.1
getsentry/sentry-python,chapmanb/bcbb,0.634,0.777
spyder-ide/spyder,coleifer/micawber,0.559,0.76
psf/requests-html,inducer/pudb,0.031,0.735
jschneier/django-storages,django-crispy-forms/django-crispy-forms,0.046,0.773
django-crispy-forms/django-crispy-forms,scottrogowski/code2flow,0.718,0.321
davidaurelio/hashids-python,davidaurelio/hashids-python,0.511,0.48
spotify/luigi,google/python-fire,0.396,0.386
ChrisKnott/Eel,nucleic/enaml,0.308,0.171
benfred/implicit,benfred/implicit,0.13,0.19
ibayer/fastFM,maciejkula/spotlight,0.056,0.244
lk-geimfari/mimesis,emirozer/fake2db,0.157,0.141
ZoomerAnalytics/xlwings,deanmalmgren/textract,0.176,0.113
stephenmcd/hot-redis,paramiko/paramiko,0.942,0.756
pyeve/eve,python-greenlet/greenlet,0.916,0.689
bloomberg/bqplot,sirfz/tesserocr,0.497,0.112
MechanicalSoup/MechanicalSoup,chineking/cola,0.37,0.125
gabrielfalcao/HTTPretty,asweigart/pyautogui,0.095,0.154
django-haystack/django-haystack,thauber/django-schedule,0.275,0.118
PyCQA/prospector,gak/pycallgraph,0.106,0.099
ajenti/ajenti,jet-admin/jet-bridge,0.049,0.114
jazzband/django-pipeline,Bogdanp/dramatiq,0.068,0.242
libvips/pyvips,hhatto/nude.py,0.046,0.16
python-pillow/Pillow,hhatto/nude.py,0.203,0.062
RaylockLLC/DearPyGui,zoofIO/flexx,0.084,0.053
ztane/python-Levenshtein,kiddouk/redisco,0.602,0.542
feincms/feincms,indico/indico,0.142,0.42
html5lib/html5lib-python,MicroPyramid/forex-python,0.059,0.813
mobolic/facebook-sdk,stephenmcd/mezzanine,0.2,0.912
mymarilyn/clickhouse-driver,rkern/line_profiler,0.909,0.949
ionelmc/python-manhole,lk-geimfari/mimesis,0.538,0.919
ZoomerAnalytics/xlwings,python-openxml/python-docx,0.478,0.38
pennersr/django-allauth,noxrepo/pox,0.798,0.562
cdgriffith/Box,rochacbruno/quokka,0.954,0.234
getsentry/responses,kevin1024/vcrpy,0.721,0.222
dahlia/wand,dylanaraps/pywal,0.129,0.059
flask-admin/flask-admin,flask-admin/flask-admin,0.062,0.043
amoffat/sh,platformio/platformio-core,0.102,0.104
waylan/Python-Markdown,waylan/Python-Markdown,0.262,0.087
tartiflette/tartiflette-aiohttp,psf/requests,0.097,0.431
orsinium/textdistance,srusskih/SublimeJEDI,0.234,0.595
coleifer/micawber,bloomberg/bqplot,0.968,0.259
giampaolo/psutil,orsinium/textdistance,0.946,0.424
web2py/pydal,web2py/pydal,0.078,0.057
ztane/python-Levenshtein,chardet/chardet,0.188,0.039
jek/blinker,Microsoft/Pyjion,0.265,0.522
robotframework/robotframework,gawel/pyquery,0.058,0.271
ponyorm/pony,dahlia/awesome-sqlalchemy,0.836,0.131
encode/orm,napalm-automation/napalm,0.936,0.17
stanfordnlp/stanza,facebookresearch/pytext,0.141,0.065
ChrisKnott/Eel,RaylockLLC/DearPyGui,0.063,0.053
mstamy2/PyPDF2,audreyr/cookiecutter,0.896,0.257
shazow/urllib3,binux/pyspider,0.634,0.249
willmcgugan/rich,rsalmei/alive-progress,0.702,0.227
asweigart/pyautogui,PrefectHQ/prefect,0.154,0.193
clips/pattern,PetrochukM/PyTorch-NLP,0.512,0.072
erikrose/more-itertools,mikeorr/Unipath,0.932,0.16
audreyr/cookiecutter,timofurrer/try,0.792,0.297
davedoesdev/python-jwt,amoffat/sh,0.978,0.548
chriskiehl/Gooey,RaylockLLC/DearPyGui,0.059,0.101
encode/orm,nicfit/eyeD3,0.22,0.233
klen/mixer,PrefectHQ/prefect,0.786,0.378
Parsely/streamparse,MasoniteFramework/masonite,0.787,0.549
lericson/pylibmc,mher/flower,0.125,0.444
hhatto/nude.py,lincolnloop/python-qrcode,0.182,0.25
libvips/pyvips,vinta/pangu.py,0.431,0.335
python/typeshed,getpelican/pelican,0.573,0.508
psf/requests,pwaller/pyfiglet,0.889,0.489
michaelhelmick/lassie,deanmalmgren/textract,0.658,0.436
dahlia/wand,lincolnloop/python-qrcode,0.09,0.073
gaojiuli/toapi,michaelhelmick/lassie,0.09,0.057
pallets/jinja,pallets/jinja,0.107,0.521
sunainapai/makesite,jazzband/pip-tools,0.25,0.326
pallets/jinja,buriy/python-readability,0.616,0.622
gotcha/ipdb,jschneier/django-storages,0.934,0.692
spotify/luigi,asweigart/pyautogui,0.526,0.832
ellisonleao/pyshorteners,mozillazg/python-pinyin,0.767,0.631
getsentry/responses,getsentry/responses,0.086,0.059
mwaskom/seaborn,mingrammer/diagrams,0.146,0.037
stchris/untangle,jab/bidict,0.349,0.118
clips/pattern,isnowfy/snownlp,0.13,0.119
huge-success/sanic,hugapi/hug,0.175,0.177
altair-viz/altair,vispy/vispy,0.281,0.134
jindaxiang/akshare,jiaaro/pydub,0.911,0.154
timofurrer/try,mooz/percol,0.254,0.291
lancopku/pkuseg-python,clips/pattern,0.082,0.138
vispy/vispy,mwaskom/seaborn,0.093,0.052
ChrisKnott/Eel,r0x0r/pywebview,0.173,0.092
pyparsing/pyparsing,selwin/python-user-agents,0.168,0.165
pyca/pynacl,python/black,0.117,0.251
benhamner/Metrics,openai/gym,0.073,0.171
altair-viz/altair,secdev/scapy,0.214,0.438
tylerlaberge/PyPattyrn,lepture/mistune,0.22,0.57
moggers87/salmon,coleifer/peewee,0.936,0.629
pymc-devs/pymc3,Alir3z4/python-currencies,0.951,0.64
ZoomerAnalytics/xlwings,python-excel/xlrd,0.105,0.049
mindflayer/python-mocket,getsentry/responses,0.121,0.096
mininet/mininet,Manisso/fsociety,0.93,0.845
tartiflette/tartiflette-aiohttp,pwaller/pyfiglet,0.823,0.674
thumbor/thumbor,PySimpleGUI/PySimpleGUI,0.052,0.027
lancopku/pkuseg-python,lancopku/pkuseg-python,0.077,0.097
coleifer/micawber,dyve/django-bootstrap3,0.75,0.794
Parsely/streamparse,ZoomerAnalytics/xlwings,0.318,0.849
worldveil/dejavu,worldveil/dejavu,0.222,0.2
marshmallow-code/webargs,gruns/furl,0.027,0.096
errbotio/errbot,errbotio/errbot,0.356,0.094
pykong/copier,facebook/PathPicker,0.217,0.07
getsentry/responses,mindflayer/python-mocket,0.727,0.934
spyder-ide/spyder,lepture/authlib,0.565,0.901
nvbn/thefuck,pytransitions/transitions,0.59,0.79
Miserlou/Zappa,Miserlou/Zappa,0.552,0.638
Supervisor/supervisor,jonathanslenders/python-prompt-toolkit,0.154,0.067
jschneier/django-storages,django-compressor/django-compressor,0.214,0.055
dmlc/mxnet,keras-team/keras,0.11,0.117
facebook/pyre-check,jab/bidict,0.128,0.116
xonsh/xonsh,noxrepo/pox,0.179,0.17
stchris/untangle,stchris/untangle,0.127,0.167
Manisso/fsociety,Manisso/fsociety,0.037,0.05
audreyr/cookiecutter,audreyr/cookiecutter,0.057,0.037
psf/requests-html,buriy/python-readability,0.3,0.09
MongoEngine/mongoengine,pynamodb/PynamoDB,0.246,0.224
kiddouk/redisco,pynamodb/PynamoDB,0.086,0.091
spulec/freezegun,mindflayer/python-mocket,0.199,0.075
jonashaag/bjoern,jazzband/localshop,0.204,0.163
tschellenbach/Stream-Framework,tschellenbach/Stream-Framework,0.221,0.182
python-pillow/Pillow,thumbor/thumbor,0.955,0.927
spyder-ide/spyder,ageitgey/face_recognition,0.937,0.926
JaidedAI/EasyOCR,sirfz/tesserocr,0.491,0.15
dmlc/xgboost,mher/flower,0.676,0.287
FactoryBoy/factory_boy,FactoryBoy/factory_boy,0.812,0.453
pyparsing/pyparsing,seatgeek/sixpack,0.943,0.35
gabrielfalcao/HTTPretty,patrys/httmock,0.082,0.205
locustio/locust,kiwicom/schemathesis,0.072,0.161
ironmussa/Optimus,r0x0r/pywebview,0.626,0.772
hhatto/nude.py,rochacbruno/quokka,0.091,0.664
istrategylabs/django-wordpress,ryanmcgrath/twython,0.203,0.153
seatgeek/fuzzywuzzy,orsinium/textdistance,0.086,0.101
burnash/gspread,ZoomerAnalytics/xlwings,0.44,0.234
SciTools/cartopy,vispy/vispy,0.487,0.157
joestump/python-oauth2,pennersr/django-allauth,0.039,0.058
grantjenks/python-sortedcontainers,grantjenks/python-sortedcontainers,0.056,0.064
encode/orm,SavinaRoja/PyUserInput,0.977,0.601
thauber/django-schedule,un33k/python-slugify,0.95,0.292
nficano/python-lambda,chapmanb/bcbio-nextgen,0.072,0.226
agiliq/merchant,agiliq/merchant,0.082,0.269
geopy/geopy,pypa/virtualenv,0.935,0.826
keunwoochoi/kapre,lancopku/pkuseg-python,0.387,0.839
srusskih/SublimeJEDI,dimka665/awesome-slugify,0.101,0.732
michaelhelmick/lassie,Alir3z4/html2text,0.096,0.472
pynamodb/PynamoDB,facebook/pyre-check,0.386,0.519
euske/pdfminer,pyglet/pyglet,0.686,0.314
PetrochukM/PyTorch-NLP,fxsjy/jieba,0.277,0.099
daboth/pagan,hhatto/nude.py,0.448,0.039
nvbn/thefuck,PyCQA/modernize,0.805,0.434
mpdavis/python-jose,jmcnamara/XlsxWriter,0.728,0.427
google/pytype,Instagram/MonkeyType,0.83,0.102
django-haystack/pysolr,django-haystack/django-haystack,0.389,0.083
thauber/django-schedule,gunnery/gunnery,0.108,0.103
WhyNotHugo/python-barcode,thumbor/thumbor,0.14,0.125
PyMySQL/mysqlclient-python,tartiflette/tartiflette-asgi,0.33,0.829
encode/apistar,hugapi/hug,0.06,0.368
emirozer/fake2db,SmileyChris/django-countries,0.168,0.49
thauber/django-schedule,fengsp/plan,0.051,0.282
keras-team/keras,keras-team/keras,0.251,0.181
jiaaro/pydub,benedekrozemberczki/karateclub,0.137,0.162
python-greenlet/greenlet,stephenmcd/mezzanine,0.485,0.734
JaidedAI/EasyOCR,kornia/kornia,0.06,0.484
django-crispy-forms/django-crispy-forms,euske/pdfminer,0.533,0.495
timothycrosley/isort,timothycrosley/isort,0.395,0.632
errbotio/errbot,pricingassistant/mrq,0.883,0.713
patrys/httmock,aws/aws-cli,0.874,0.81
mitsuhiko/pluginbase,mitsuhiko/pluginbase,0.117,0.093
myusuf3/delorean,shinux/PyTime,0.12,0.045
blaze/blaze,dask/dask,0.087,0.172
keleshev/schema,Delgan/loguru,0.471,0.3
deanmalmgren/textract,gaojiuli/toapi,0.213,0.624
zachwill/moment,errbotio/errbot,0.321,0.795
pallets/werkzeug,benoitc/gunicorn,0.041,0.143
hhatto/nude.py,fogleman/Quads,0.056,0.138
paramiko/paramiko,buriy/python-readability,0.969,0.95
mozillazg/python-pinyin,rochacbruno/quokka,0.986,0.959
django/daphne,encode/uvicorn,0.132,0.093
zachwill/moment,dateutil/dateutil,0.061,0.07
jfkirk/tensorrec,maciejkula/spotlight,0.058,0.142
MongoEngine/mongoengine,Bogdanp/dramatiq,0.042,0.251
seatgeek/sixpack,nucleic/enaml,0.452,0.737
benoitc/gunicorn,maciejkula/spotlight,0.169,0.669
facebook/PathPicker,platformio/platformio-core,0.063,0.137
shinux/PyTime,timofurrer/maya,0.093,0.129
MagicStack/uvloop,soravux/scoop,0.066,0.115
dbcli/litecli,MagicStack/uvloop,0.151,0.073
spotify/annoy,TheAlgorithms/Python,0.109,0.231
dbader/schedule,thauber/django-schedule,0.131,0.246
pwaller/pyfiglet,seatgeek/fuzzywuzzy,0.431,0.257
mahmoud/boltons,shazow/urllib3,0.799,0.435
dahlia/awesome-sqlalchemy,sdispater/orator,0.224,0.192
joestump/python-oauth2,mher/flower,0.489,0.196
coala/coala,HypothesisWorks/hypothesis,0.103,0.074
mahmoud/boltons,jek/blinker,0.114,0.135
gawel/pyquery,mozilla/bleach,0.219,0.179
ansible/ansible,jmcarp/robobrowser,0.544,0.202
tartiflette/tartiflette-aiohttp,graphql-python/graphene,0.054,0.057
beetbox/audioread,tyiannak/pyAudioAnalysis,0.202,0.069
robinhood/faust,h2oai/h2o-3,0.036,0.145
sloria/doitlive,gotcha/ipdb,0.242,0.145
jpadilla/pyjwt,ovalhub/pyicu,0.197,0.785
pypa/bandersnatch,jazzband/localshop,0.04,0.549
abhiTronix/vidgear,abhiTronix/vidgear,0.112,0.05
uber/pyflame,fabianp/memory_profiler,0.054,0.088
django-cache-machine/django-cache-machine,bbangert/beaker,0.098,0.346
elastic/elasticsearch-dsl-py,seatgeek/fuzzywuzzy,0.08,0.252
psf/requests-html,codelucas/newspaper,0.074,0.197
ajenti/ajenti,mher/flower,0.034,0.2
python-attrs/attrs,rsalmei/alive-progress,0.681,0.487
dahlia/wand,jmcnamara/XlsxWriter,0.289,0.28
un33k/python-slugify,jazzband/localshop,0.708,0.754
grantjenks/python-sortedcontainers,euske/pdfminer,0.343,0.77
scanny/python-pptx,jmcnamara/XlsxWriter,0.511,0.094
bpython/bpython,evhub/coconut,0.765,0.274
idan/oauthlib,dbader/schedule,0.714,0.163
elastic/elasticsearch-dsl-py,django-haystack/django-haystack,0.554,0.249
httplib2/httplib2,geex-arts/django-jet,0.146,0.289
ZoomerAnalytics/xlwings,jmcnamara/XlsxWriter,0.034,0.142
lorien/grab,binux/pyspider,0.127,0.047
magenta/magenta,magenta/magenta,0.073,0.071
codelucas/newspaper,r0x0r/pywebview,0.955,0.185
crossbario/autobahn-python,faif/python-patterns,0.902,0.401
sqlmapproject/sqlmap,Suor/funcy,0.946,0.185
mooz/percol,pykong/copier,0.867,0.128
MechanicalSoup/MechanicalSoup,buriy/python-readability,0.847,0.644
mingrammer/diagrams,bokeh/bokeh,0.648,0.707
indico/indico,SmileyChris/django-countries,0.917,0.349
jazzband/django-pipeline,miracle2k/flask-assets,0.857,0.28
bpython/bpython,jonathanslenders/python-prompt-toolkit,0.165,0.111
Yelp/mrjob,henriquebastos/python-decouple,0.214,0.155
ageitgey/face_recognition,sightmachine/SimpleCV,0.062,0.105
geex-arts/django-jet,sshwsfc/xadmin,0.065,0.12
ahupp/python-magic,klen/mixer,0.651,0.085
SavinaRoja/PyUserInput,sshwsfc/xadmin,0.442,0.056
kornia/kornia,sightmachine/SimpleCV,0.084,0.134
devsnd/tinytag,nicfit/eyeD3,0.282,0.21
getsentry/sentry-python,s3tools/s3cmd,0.13,0.363
pyeve/eve,martinrusev/imbox,0.309,0.385
pybee/toga,pyglet/pyglet,0.038,0.512
PyMySQL/PyMySQL,mooz/percol,0.123,0.847
nvdv/vprof,rkern/line_profiler,0.092,0.062
spotify/luigi,spotify/luigi,0.08,0.051
fogleman/Quads,thumbor/thumbor,0.239,0.098
python-openxml/python-docx,pyexcel/pyexcel,0.155,0.082
pyinvoke/invoke,timofurrer/try,0.348,0.06
ZoomerAnalytics/xlwings,pyexcel/pyexcel,0.154,0.032
nicfit/eyeD3,devsnd/tinytag,0.134,0.045
soravux/scoop,soravux/scoop,0.122,0.093
Bogdanp/dramatiq,pricingassistant/mrq,0.35,0.274
omab/python-social-auth,django-crispy-forms/django-crispy-forms,0.45,0.198
derek73/python-nameparser,selwin/python-user-agents,0.188,0.156
zostera/django-bootstrap4,getsentry/sentry-python,0.16,0.122
0rpc/zerorpc-python,ahupp/python-magic,0.342,0.211
paramiko/paramiko,html5lib/html5lib-python,0.762,0.144
beetbox/beets,facebook/pyre-check,0.692,0.914
mingrammer/diagrams,davedoesdev/python-jwt,0.923,0.918
pytoolz/toolz,pytoolz/toolz,0.348,0.57
mpdavis/python-jose,hhatto/nude.py,0.886,0.706
pyglet/pyglet,PySimpleGUI/PySimpleGUI,0.343,0.407
klen/pylama,spulec/freezegun,0.705,0.668
dahlia/wand,thumbor/thumbor,0.065,0.215
Suor/django-cacheops,chineking/cola,0.109,0.463
gorakhargosh/watchdog,jaraco/path.py,0.059,0.176
keon/algorithms,grantjenks/python-sortedcontainers,0.123,0.144
isnowfy/snownlp,r0x0r/pywebview,0.915,0.607
jmcarp/robobrowser,chineking/cola,0.218,0.397
bloomberg/bqplot,altair-viz/altair,0.074,0.05
coleifer/peewee,encode/orm,0.269,0.12
stephenmcd/hot-redis,rossgoodwin/hmap,0.915,0.804
gruns/furl,codeinthehole/purl,0.783,0.726
pyglet/pyglet,RaylockLLC/DearPyGui,0.235,0.095
klen/mixer,ionelmc/python-hunter,0.493,0.202
davedoesdev/python-jwt,srusskih/SublimeJEDI,0.091,0.606
mingrammer/diagrams,bloomberg/bqplot,0.067,0.275
mooz/percol,martinblech/xmltodict,0.26,0.622
codelucas/newspaper,miso-belica/sumy,0.209,0.39
martinrusev/imbox,kootenpv/yagmail,0.657,0.735
lincolnloop/python-qrcode,lepture/authlib,0.314,0.545
MicroPyramid/forex-python,jazzband/django-taggit,0.201,0.065
facebook/pyre-check,facebook/pyre-check,0.032,0.055
facebook/PathPicker,facebook/PathPicker,0.034,0.072
huge-success/sanic,falconry/falcon,0.087,0.091
erikrose/more-itertools,pymc-devs/pymc3,0.646,0.181
zostera/django-bootstrap4,wtforms/wtforms,0.121,0.098
zachwill/moment,unoconv/unoconv,0.952,0.367
sdispater/orator,encode/orm,0.896,0.55
Yelp/mrjob,ray-project/ray,0.736,0.214
pyparsing/pyparsing,hhatto/nude.py,0.765,0.193
ellisonleao/pyshorteners,esnme/ultrajson,0.344,0.221
r0x0r/pywebview,pyglet/pyglet,0.07,0.163
pallets/itsdangerous,pallets/itsdangerous,0.159,0.101
mozillazg/python-pinyin,orsinium/textdistance,0.241,0.075
vandersonmota/model_mommy,Fizzadar/pyinfra,0.333,0.516
jpadilla/pyjwt,gruns/furl,0.584,0.548
spotify/luigi,devpi/devpi,0.121,0.079
mozillazg/python-pinyin,LuminosoInsight/python-ftfy,0.104,0.068
