repo1,repo2,Similarity(No. 1),Similarity(No. 2)
TheAlgorithms/Python,TheAlgorithms/Python,0.055,0.096
worldveil/dejavu,sergree/matchering,0.107,0.148
python/typeshed,falconry/falcon,0.597,0.449
dateutil/dateutil,dateutil/dateutil,0.222,0.361
lemire/simdjson,marshmallow-code/marshmallow,0.231,0.532
JaidedAI/EasyOCR,ageitgey/face_recognition,0.114,0.533
miracle2k/flask-assets,clips/pattern,0.975,0.735
python-attrs/attrs,zostera/django-bootstrap4,0.966,0.894
gleitz/howdoi,facebook/PathPicker,0.349,0.216
SavinaRoja/PyUserInput,coleifer/huey,0.756,0.284
shinux/PyTime,myusuf3/delorean,0.75,0.512
Parsely/streamparse,Alir3z4/html2text,0.769,0.704
joke2k/faker,lk-geimfari/mimesis,0.296,0.034
andialbrecht/sqlparse,dabeaz/ply,0.803,0.092
pyparsing/pyparsing,gunnery/gunnery,0.922,0.326
tartiflette/tartiflette-aiohttp,tartiflette/tartiflette-aiohttp,0.799,0.367
falconry/falcon,falconry/falcon,0.112,0.086
gawel/pyquery,stchris/untangle,0.193,0.139
Delgan/loguru,getpelican/pelican,0.623,0.093
httplib2/httplib2,flask-api/flask-api,0.878,0.103
sightmachine/SimpleCV,JaidedAI/EasyOCR,0.044,0.041
cdgriffith/Box,carlosescri/DottedDict,0.087,0.067
encode/httpx,geopy/geopy,0.573,0.537
rochacbruno/quokka,indico/indico,0.319,0.449
mher/flower,flask-admin/flask-admin,0.052,0.066
keleshev/schema,keleshev/schema,0.094,0.118
tartiflette/tartiflette-asgi,emirozer/fake2db,0.512,0.767
timofurrer/maya,zachwill/moment,0.273,0.72
jazzband/pip-tools,podio/valideer,0.363,0.84
devpi/devpi,moggers87/salmon,0.106,0.819
keras-team/keras,SerpentAI/SerpentAI,0.196,0.224
msiemens/tinydb,maxmind/geoip-api-python,0.285,0.218
rogerbinns/apsw,mining/mining,0.341,0.344
michaelhelmick/lassie,coleifer/micawber,0.233,0.189
ironmussa/Optimus,mining/mining,0.886,0.756
schematics/schematics,elapouya/python-docx-template,0.845,0.676
Alir3z4/python-currencies,carlospalol/money,0.119,0.091
unoconv/unoconv,jmcnamara/XlsxWriter,0.208,0.056
scrapinghub/portia,jmcarp/robobrowser,0.028,0.038
jendrikseipp/vulture,jendrikseipp/vulture,0.032,0.084
mahmoud/boltons,SciTools/cartopy,0.387,0.331
PetrochukM/PyTorch-NLP,napalm-automation/napalm,0.219,0.55
sergree/matchering,jiaaro/pydub,0.3,0.434
un33k/python-slugify,lorien/grab,0.638,0.538
boto/boto3,jeffknupp/sandman2,0.416,0.81
fabtools/fabtools,jeffknupp/sandman2,0.261,0.512
uber/pyflame,tartiflette/tartiflette-asgi,0.946,0.834
pytoolz/toolz,erikrose/more-itertools,0.782,0.762
joestump/python-oauth2,mozilla/bleach,0.905,0.457
BVLC/caffe,mitsuhiko/unp,0.58,0.319
pyenv/pyenv,dylanaraps/pywal,0.625,0.779
Instagram/MonkeyType,fengsp/plan,0.539,0.799
pykong/copier,timofurrer/try,0.599,0.165
WiserTogether/django-remote-forms,wooey/wooey,0.691,0.155
mininet/mininet,willmcgugan/rich,0.751,0.518
pricingassistant/mrq,Parsely/streamparse,0.946,0.395
mobolic/facebook-sdk,mobolic/facebook-sdk,0.079,0.128
lemire/simdjson,esnme/ultrajson,0.061,0.099
jaraco/path.py,pybuilder/pybuilder,0.691,0.447
nvdv/vprof,errbotio/errbot,0.603,0.36
miso-belica/sumy,michaelhelmick/lassie,0.097,0.156
dylanaraps/pywal,daboth/pagan,0.032,0.189
openai/gym,dmlc/xgboost,0.109,0.106
mwaskom/seaborn,vispy/vispy,0.087,0.031
timofurrer/maya,carlosescri/DottedDict,0.658,0.57
beetbox/beets,beetbox/audioread,0.691,0.681
getpelican/pelican,flask-restful/flask-restful,0.019,0.36
beetbox/audioread,jiaaro/pydub,0.127,0.441
flask-api/flask-api,flask-restful/flask-restful,0.262,0.094
HypothesisWorks/hypothesis,chapmanb/bcbio-nextgen,0.518,0.105
ahupp/python-magic,pyeve/eve,0.549,0.879
stephenmcd/mezzanine,agiliq/merchant,0.526,0.719
keon/algorithms,keon/algorithms,0.035,0.045
KoffeinFlummi/Chronyk,shinux/PyTime,0.052,0.043
jmcnamara/XlsxWriter,python-excel/xlrd,0.148,0.048
ajenti/ajenti,ajenti/ajenti,0.104,0.072
worldveil/dejavu,BVLC/caffe,0.857,0.263
indico/indico,pytransitions/transitions,0.736,0.23
scanny/python-pptx,nose-devs/nose2,0.623,0.089
CleanCut/green,CleanCut/green,0.511,0.209
zopefoundation/ZODB,psf/requests-html,0.337,0.476
laixintao/iredis,aws/aws-cli,0.443,0.29
mininet/mininet,PrefectHQ/prefect,0.621,0.359
audreyr/cookiecutter,nvbn/thefuck,0.198,0.271
